"Post Date","Amount","Check Number","Payee","Memo"
"08/07/2025","2000","","UT SAN ANTONIO  - PAYMENTS  ISA*00*NV        *00*NV        *ZZ*UTSA120110     *ZZ*NV             *250806*173 1*U*00200*000000",""
"08/14/2025","-100","","Amazon.com*JX56 440 Terry Ave N    Amzn.com/bill  WAUS",""
"08/26/2025","-1900","","Internet Transfer to *5210 SAV",""
"08/27/2025","-27.19","","WM SUPERCENTER 5555 DE ZAVALA RD  SAN ANTONIO    TXUS",""
"08/27/2025","100","","Overdraft Protection Deposit",""
"08/31/2025","0.05","","Dividend",""
"09/02/2025","-19.44","","SAMSCLUB #6262 5565 DE ZAVALA RD  SAN ANTONIO    TXUS",""
"09/02/2025","-5.93","","WM SUPERCENTER 5555 DE ZAVALA RD  SAN ANTONIO    TXUS",""
"09/05/2025","-54.09","","AMAZON MKTPL*U7 440 Terry Ave N    Amzn.com/bill  WAUS",""
"09/11/2025","-132.02","","AMAZON MKTPL*UF 440 Terry Ave N    Amzn.com/bill  WAUS",""
"09/11/2025","200","","Overdraft Protection Deposit",""
"09/12/2025","-178.45","","Etsy Etsy.com*e 17 Adams St        Brooklyn       NYUS",""
"09/12/2025","100","","Overdraft Protection Deposit",""
"09/13/2025","-47.61","","AMAZON MKTPL*4A 440 Terry Ave N    Amzn.com/bill  WAUS",""
"09/13/2025","100","","Overdraft Protection Deposit",""
"09/15/2025","-4.86","","AMAZON MKTPL*FW 440 Terry Ave N    Amzn.com/bill  WAUS",""
"09/15/2025","200","","Internet Transfer from *5210 SAV",""
"09/16/2025","-59.12","","AMAZON MKTPL*EO 440 Terry Ave N    Amzn.com/bill  WAUS",""
"09/16/2025","20","","Internet Transfer from *5210 SAV",""
"09/17/2025","-127.58","","AMAZON MKTPL*T6 440 Terry Ave N    Amzn.com/bill  WAUS",""
"09/17/2025","-28.04","","AMAZON MKTPL*MC 440 Terry Ave N    Amzn.com/bill  WAUS",""
"09/24/2025","-121.77","","AMAZON MKTPL*JR 440 Terry Ave N    Amzn.com/bill  WAUS",""
"09/24/2025","100","","Overdraft Protection Deposit",""
"09/27/2025","-82.21","","AMAZON MKTPL*NJ 440 Terry Ave N    Amzn.com/bill  WAUS",""
"09/27/2025","-29.19","","AMAZON MKTPL*3V 440 Terry Ave N    Amzn.com/bill  WAUS",""
"09/27/2025","100","","Overdraft Protection Deposit",""
"09/28/2025","-75.67","","AMAZON MKTPL*NJ 440 Terry Ave N    Amzn.com/bill  WAUS",""
"09/28/2025","100","","Overdraft Protection Deposit",""
"10/01/2025","14.02","","AMAZON MKTPLACE 440 Terry Ave N    Amzn.com/bill  WAUS",""
"10/03/2025","-49.75","","AMAZON MKTPL*NJ 440 Terry Ave N    Amzn.com/bill  WAUS",""
"10/07/2025","14.02","","AMAZON MKTPLACE 440 Terry Ave N    Amzn.com/bill  WAUS",""
"10/07/2025","14.02","","AMAZON MKTPLACE 440 Terry Ave N    Amzn.com/bill  WAUS",""
"10/09/2025","-43.89","","PAYPAL *ALEXNLD Kiriat Moshe B 148/4029357733     ILIL",""
"10/09/2025","-9.93","","ALIEXPRESS 400 S EL CAMINO REA800-981-3590   CAUS",""
"10/09/2025","-25.17","","DKC*DIGI KEY CO 701 BROOKS AVE     800-344-4539   MNUS",""
"10/09/2025","100","","Overdraft Protection Deposit",""
"10/10/2025","-43.89","","PAYPAL *ALEXNLD Kiriat Moshe B 148/4029357733     ILIL",""
"10/13/2025","-73.89","","AMAZON MKTPL*NM 440 Terry Ave N    Amzn.com/bill  WAUS",""
"10/13/2025","100","","Overdraft Protection Deposit",""
"10/20/2025","300","","Internet Transfer from *5210 SAV",""
"10/22/2025","-224.36","","RAISING CANES 0 11703 Bandera Road SAN ANTONIO    TXUS",""
"10/22/2025","-81.59","","AMAZON MKTPL*NU 440 Terry Ave N    SEATTLE        WAUS",""
"10/29/2025","-62.76","","AMAZON MKTPL*N4 440 Terry Ave N    SEATTLE        WAUS",""
"10/29/2025","-41.1","","AMAZON MKTPL*N4 440 Terry Ave N    SEATTLE        WAUS",""
"10/29/2025","100","","Overdraft Protection Deposit",""
"10/30/2025","1000","","UT SAN ANTONIO  - PAYMENTS  ISA*00*NV        *00*NV        *ZZ*UTSA120110     *ZZ*NV             *251029*183 1*U*00200*000000",""
"10/31/2025","-6.97","","AMAZON MKTPL*N4 440 Terry Ave N    SEATTLE        WAUS",""
"10/31/2025","0.01","","Dividend",""
"11/01/2025","-88.78","","ADAFRUIT ELECTR 168 39th Street SteBROOKLYN       NYUS",""
"11/01/2025","-36.78","","AMAZON MKTPL*NK 440 Terry Ave N    SEATTLE        WAUS",""
"11/01/2025","-82.65","","AMAZON MKTPL*NK 440 Terry Ave N    SEATTLE        WAUS",""
"11/05/2025","-114.79","","AMAZON MKTPL*BT 440 Terry Ave N    SEATTLE        WAUS",""
"11/06/2025","-177.35","","JLCPCB NO.2 ON YIU STREET INTERNET       HKHK",""
"11/07/2025","-5.4","","AMAZON MKTPL*BT 440 Terry Ave N    SEATTLE        WAUS",""
"11/07/2025","-8.65","","AMAZON MKTPL*BT 440 Terry Ave N    SEATTLE        WAUS",""
"11/07/2025","-21.6","","AMAZON MKTPL*BT 440 Terry Ave N    SEATTLE        WAUS",""
"11/08/2025","-136.22","","AMAZON MKTPL*BT 440 Terry Ave N    SEATTLE        WAUS",""
"11/10/2025","600","","Internet Transfer from A. Perez *5467 SAV",""
"11/11/2025","-619.98","","PYN*elegoo us FLAT RM D013 F WONGOnline         HKHK",""
"11/11/2025","-7.57","","AMAZON MKTPL*BT 440 Terry Ave N    SEATTLE        WAUS",""
"11/11/2025","-10.81","","AMAZON MKTPL*B8 440 Terry Ave N    SEATTLE        WAUS",""
"11/11/2025","-42.92","","DKC*DIGI KEY CO 701 BROOKS AVE     THIEF RIVER F  MNUS",""
"11/13/2025","-44.9","","AMAZON MKTPL*BT 440 Terry Ave N    SEATTLE        WAUS",""
"11/15/2025","-75.98","","ADAFRUIT ELECTR 168 39th Street SteBROOKLYN       NYUS",""
"11/15/2025","-7.57","","AMAZON MKTPL*B8 440 Terry Ave N    SEATTLE        WAUS",""
"11/15/2025","-72.43","","AMAZON MKTPL*B8 440 Terry Ave N    SEATTLE        WAUS",""
"11/16/2025","-30.28","","AMAZON MKTPL*B8 440 Terry Ave N    SEATTLE        WAUS",""
"11/26/2025","-17.31","","AMAZON.COM         SEATTLE        WAUS",""
"11/26/2025","-42.92","","AMAZON MKTPL*B2 440 Terry Ave N    SEATTLE        WAUS",""
"11/26/2025","100","","Overdraft Protection Deposit",""
"11/27/2025","-32.51","","AMAZON MKTPL*B2 440 Terry Ave N    SEATTLE        WAUS",""
"11/27/2025","-10.81","","AMAZON MKTPL*B2 440 Terry Ave N    SEATTLE        WAUS",""
"11/30/2025","0.01","","Dividend",""
"12/04/2025","500","","Internet Transfer from *5210 SAV",""
